structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Interpeduncular nucleus, rostral",0.0,1.0,1.0,0.049051,0.0519779999999999,0.101029,0.0,19.238908769094653
"Interpeduncular nucleus, rostrolateral",0.0,0.0,0.0,0.0129159999999999,0.0111799999999999,0.024096,0.0,0.0
Interposed nucleus,32.0,13.0,45.0,0.515873,0.521214,1.037087,62.03077113940834,24.941770558734035
Interstitial nucleus of Cajal,0.0,0.0,0.0,0.044399,0.046897,0.091296,0.0,0.0
Intertrigeminal nucleus,1.0,1.0,2.0,0.039235,0.03513,0.074365,25.48744743213967,28.465698832906348
Koelliker-Fuse subnucleus,1.0,6.0,7.0,0.1043579999999999,0.100839,0.205197,9.582399049426025,59.50078838544611
Lateral amygdalar nucleus,0.0,0.0,0.0,0.427112,0.5085529999999999,0.935665,0.0,0.0
Lateral dorsal nucleus of thalamus,143.0,17.0,160.0,0.574001,0.523767,1.097768,249.12848583887487,32.457180387462365
Lateral habenula,6.0,0.0,6.0,0.227762,0.215384,0.443146,26.343288169229282,0.0
Lateral hypothalamic area,3.0,3.0,6.0,1.225735,1.235954,2.461689,2.4475110851856234,2.427274801489376
Lateral mammillary nucleus,0.0,0.0,0.0,0.0385719999999999,0.043281,0.081853,0.0,0.0
Lateral posterior nucleus of the thalamus,272.0,22.0,294.0,0.7198939999999999,0.707162,1.427056,377.8334032510342,31.110268934133906
Lateral preoptic area,7.0,3.0,10.0,0.358865,0.369788,0.728653,19.50594234600755,8.112756498317955
"Lateral reticular nucleus, magnocellular part",0.0,0.0,0.0,0.079207,0.099336,0.178543,0.0,0.0
"Lateral reticular nucleus, parvicellular part",0.0,0.0,0.0,0.019239,0.017055,0.036294,0.0,0.0
"Lateral septal nucleus, caudal (caudodorsal) part",0.0,0.0,0.0,0.22829,0.259681,0.487971,0.0,0.0
"Lateral septal nucleus, rostral (rostroventral) part",2.0,0.0,2.0,1.129322,1.223345,2.352667,1.7709740888781058,0.0
"Lateral septal nucleus, ventral part",2.0,1.0,3.0,0.3918839999999999,0.400736,0.7926199999999999,5.103551050821163,2.4954084484548433
Lateral terminal nucleus of the accessory optic tract,0.0,1.0,1.0,0.010935,0.010473,0.021408,0.0,95.48362455838824
Lateral vestibular nucleus,5.0,1.0,6.0,0.168106,0.1626149999999999,0.330721,29.743138258003878,6.149494204101717
"Lateral visual area, layer 1",0.0,0.0,0.0,0.080942,0.0915919999999999,0.172534,0.0,0.0
"Lateral visual area, layer 2/3",3.0,0.0,3.0,0.139211,0.159209,0.29842,21.55002119085417,0.0
"Lateral visual area, layer 4",14.0,1.0,15.0,0.092135,0.105252,0.1973869999999999,151.9509415531557,9.501007106753317
"Lateral visual area, layer 5",38.0,2.0,40.0,0.176513,0.195315,0.371828,215.28159399024435,10.239868929677701
"Lateral visual area, layer 6a",3.0,0.0,3.0,0.117602,0.1191179999999999,0.2367199999999999,25.509770242002688,0.0
"Lateral visual area, layer 6b",1.0,0.0,1.0,0.020891,0.021043,0.041934,47.867502752381405,0.0
Laterodorsal tegmental nucleus,22.0,7.0,29.0,0.120545,0.122443,0.2429879999999999,182.5044589157576,57.169458441887244
"Laterointermediate area, layer 1",0.0,0.0,0.0,0.0312469999999999,0.03735,0.0685969999999999,0.0,0.0
"Laterointermediate area, layer 2/3",23.0,1.0,24.0,0.052037,0.062056,0.114093,441.993197148183,16.114477246358128
"Laterointermediate area, layer 4",43.0,0.0,43.0,0.027953,0.033113,0.0610659999999999,1538.2964261438844,0.0
"Laterointermediate area, layer 5",55.0,0.0,55.0,0.078813,0.088763,0.167576,697.8544148807938,0.0
"Laterointermediate area, layer 6a",5.0,0.0,5.0,0.0407169999999999,0.043615,0.0843319999999999,122.79883095512962,0.0
"Laterointermediate area, layer 6b",0.0,0.0,0.0,0.007833,0.0084549999999999,0.0162879999999999,0.0,0.0
Linear nucleus of the medulla,13.0,2.0,15.0,0.023978,0.0185679999999999,0.042546,542.1636500125115,107.71219302025047
Lingula (I),2.0,4.0,6.0,0.056032,0.0597759999999999,0.115808,35.6938892061679,66.91648822269819
Lobule II,54.0,63.0,117.0,0.7575649999999999,0.71749,1.4750549999999998,71.2810121903731,87.80610182720316
Lobule III,106.0,97.0,203.0,1.715751,1.767434,3.483185,61.78052642836868,54.88182302705504
Lobules IV-V,113.0,127.0,240.0,4.330941,4.215329,8.54627,26.09132749672646,30.128134719733623
Locus ceruleus,2.0,4.0,6.0,0.008505,0.0088069999999999,0.017312,235.15579071134624,454.18417168162205
Magnocellular nucleus,2.0,0.0,2.0,0.207865,0.221189,0.429054,9.621629422942776,0.0
Magnocellular reticular nucleus,6.0,15.0,21.0,0.246107,0.262358,0.508465,24.37963975018996,57.17378543821801
Main olfactory bulb,6.0,5.0,11.0,7.813092999999999,7.430628,15.243721,0.7679417101524326,0.6728906358924172
Medial accesory oculomotor nucleus,0.0,2.0,2.0,0.009675,0.010025,0.0197,0.0,199.50124688279303
Medial amygdalar nucleus,0.0,0.0,0.0,1.069343,0.972684,2.042027,0.0,0.0
"Medial geniculate complex, dorsal part",4.0,5.0,9.0,0.097796,0.103624,0.20142,40.901468362714226,48.25137033891763
"Medial geniculate complex, medial part",3.0,4.0,7.0,0.139234,0.140262,0.2794959999999999,21.546461352830487,28.518059060900317
"Medial geniculate complex, ventral part",3.0,4.0,7.0,0.15727,0.162096,0.319366,19.07547529725949,24.676734774454644
Medial habenula,0.0,1.0,1.0,0.167865,0.163272,0.331137,0.0,6.124748885295703
"Medial mammillary nucleus, dorsal part",0.0,0.0,0.0,0.034457,0.0343,0.068757,0.0,0.0
"Medial mammillary nucleus, lateral part",0.0,0.0,0.0,0.108627,0.112477,0.221104,0.0,0.0
"Medial mammillary nucleus, medial part",0.0,0.0,0.0,0.0761749999999999,0.079593,0.155768,0.0,0.0
